,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty,¤ÀÃþ
271,0.125,0.0,0.0,0.03125,0.0,0.0625,0.046875,0.171875,0.046875,0.015625,0.0625,0.0625,0.078125,0.0,0.0,0.0,0.296875
272,0.09523809523809523,0.0,0.0,0.0,0.0,0.2619047619047619,0.047619047619047616,0.2619047619047619,0.0,0.023809523809523808,0.023809523809523808,0.09523809523809523,0.07142857142857142,0.0,0.0,0.0,0.11904761904761904
273,0.07462686567164178,0.0,0.44776119402985076,0.04477611940298507,0.0,0.014925373134328358,0.029850746268656716,0.16417910447761194,0.0,0.014925373134328358,0.0,0.04477611940298507,0.13432835820895522,0.0,0.014925373134328358,0.014925373134328358,0.0
274,0.08108108108108109,0.0,0.0,0.10810810810810811,0.0,0.0,0.1891891891891892,0.10810810810810811,0.05405405405405406,0.02702702702702703,0.0,0.05405405405405406,0.08108108108108109,0.0,0.0,0.0,0.2972972972972973
275,0.15789473684210525,0.05263157894736842,0.17105263157894737,0.013157894736842105,0.02631578947368421,0.0,0.09210526315789473,0.14473684210526316,0.039473684210526314,0.07894736842105263,0.02631578947368421,0.09210526315789473,0.07894736842105263,0.0,0.0,0.0,0.02631578947368421
276,0.05,0.016666666666666666,0.48333333333333334,0.03333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,0.016666666666666666,0.0,0.0,0.06666666666666667,0.016666666666666666,0.0,0.05,0.016666666666666666,0.11666666666666667
277,0.02564102564102564,0.02564102564102564,0.41025641025641024,0.0,0.0,0.05128205128205128,0.05128205128205128,0.15384615384615385,0.0,0.0,0.02564102564102564,0.15384615384615385,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.0,0.0
278,0.09375,0.03125,0.0,0.0,0.0,0.0625,0.0625,0.09375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.53125
279,0.10344827586206896,0.08620689655172414,0.0,0.034482758620689655,0.0,0.017241379310344827,0.2413793103448276,0.22413793103448276,0.0,0.034482758620689655,0.017241379310344827,0.05172413793103448,0.034482758620689655,0.0,0.0,0.0,0.15517241379310345
280,0.09615384615384616,0.038461538461538464,0.34615384615384615,0.0,0.0,0.019230769230769232,0.15384615384615385,0.19230769230769232,0.019230769230769232,0.0,0.0,0.057692307692307696,0.0,0.057692307692307696,0.019230769230769232,0.0,0.0
