,0,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
296,7,2,1,0,0,0,0,8,1,0,0,0,0,2,1,0,0
297,11,2,1,0,1,0,0,8,1,0,9,0,3,1,2,0,0
298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,17,23,12,7,3,0,21,18,54,4,9,2,47,23,15,5,0
301,16,12,3,1,2,0,0,1,14,0,3,2,47,8,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,14,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
304,16,3,0,0,0,1,0,0,0,1,0,0,9,2,1,0,0
305,8,5,3,5,3,0,5,18,11,1,8,0,12,2,0,2,0
306,18,0,1,1,1,0,0,4,0,0,2,0,0,0,1,0,0
307,17,6,0,0,2,0,1,2,5,0,0,0,5,1,0,0,1
308,17,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,9,2,1,0,2,0,2,1,2,0,0,0,2,1,0,0,0
312,17,22,7,18,1,2,4,25,21,6,6,2,62,16,6,1,0
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,1,5,2,0,0,0,11,7,4,0,0,1,5,1,0,0,0
315,9,1,1,0,1,0,1,0,3,0,0,0,0,1,0,1,0
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,16,6,2,1,1,0,4,3,3,0,1,0,26,1,2,0,0
318,18,0,2,0,1,0,1,3,1,0,0,0,0,1,0,0,0
319,17,18,6,2,1,0,2,4,21,0,4,0,16,5,1,1,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,15,4,3,3,1,0,0,1,2,0,0,1,4,0,0,0,1
322,5,5,1,0,1,0,1,0,0,0,0,0,3,1,1,0,0
323,5,7,4,0,0,0,1,1,3,0,2,0,9,4,0,2,0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,5,2,1,2,2,0,16,1,9,0,0,0,11,1,0,1,0
327,11,0,0,0,4,2,0,2,1,0,1,0,0,0,0,0,0
328,1,3,1,0,1,0,1,2,2,0,1,0,1,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,10,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,9,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
336,9,3,0,0,2,0,9,2,0,0,0,0,1,1,2,0,0
