,name,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
93,Laphroaig 10 Year Old Cask Strength,6,3,95,1,0,0,5,3,0,2,0,9,9,0,0,6
94,Longmorn 16 Year Old,1,2,1,4,0,1,5,3,0,2,0,1,0,2,0,0
95,Ardbeg 1977 Limited Edition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Glenfiddich 21 Year Old Wedgewood Decanter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,BenRiach Heart of Speyside,1,0,1,0,0,1,2,1,1,0,0,0,1,0,1,0
98,Laphroaig 10 Year Old,13,8,232,7,0,1,7,12,2,11,0,17,12,4,4,24
99,Highland Park 18 Year Old,7,3,14,2,0,0,2,2,0,1,1,2,0,1,7,0
100,Big Peat Big Peat,1,0,4,4,0,0,2,1,1,0,1,0,1,2,0,1
101,Springbank 12 Year Old Cask Strength,0,0,5,0,3,0,7,5,0,1,0,2,0,0,1,0
102,Laphroaig 30 Year Old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,The Macallan 25 Year Old Sherry Oak,0,0,2,0,1,0,3,2,0,5,0,0,0,0,1,0
104,Rare Malts Blair Athol 27 Year Old 1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Sheep Dip Sheep Dip,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
106,Brora 30 Year Old 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Compass Box Spice Tree,11,2,5,1,0,3,1,20,0,2,1,8,6,0,2,2
108,Highland Park 25 Year Old,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0
109,Compass Box Oak Cross,2,1,1,1,0,0,6,5,0,1,0,1,1,0,1,0
110,Compass Box Flaming Heart 10th Anniversary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,The Macallan 21 Year Old Fine Oak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
