,0,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
167,4,2,4,0,0,0,1,3,1,1,0,1,2,1,0,0,0
168,2,1,0,3,0,0,0,1,1,0,0,0,2,0,0,0,3
169,12,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2,0,2,4,3,0,0,4,1,0,2,0,3,0,0,0,0
172,0,21,2,124,10,11,0,11,13,4,7,0,15,13,1,10,14
173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,9,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0
175,2,2,1,5,1,0,0,2,0,0,1,1,4,0,1,0,0
176,0,4,1,21,1,0,0,4,4,0,1,0,6,2,1,3,2
177,8,2,0,0,2,2,0,3,0,0,0,0,2,0,0,0,0
178,10,2,0,0,4,0,0,1,0,0,0,0,2,3,0,0,0
179,5,2,0,0,0,0,2,1,1,0,0,0,1,0,2,0,0
180,13,2,0,0,2,0,0,10,3,2,0,0,0,0,0,0,2
181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2,0,1,2,1,0,1,2,0,0,2,0,0,1,0,0,0
184,6,2,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0
185,0,3,1,10,2,1,1,0,0,0,0,0,3,0,0,0,1
186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,11,0,3,0,1,0,0,6,3,0,1,1,2,3,0,0,0
188,11,0,1,0,1,0,0,3,1,0,0,1,1,1,0,0,0
189,2,2,0,2,1,0,0,1,0,1,1,0,0,0,0,0,1
190,2,18,14,36,11,0,2,28,12,0,1,0,37,10,4,1,2
191,11,0,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0
192,7,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
193,0,0,0,4,0,0,0,1,3,0,0,0,1,0,1,0,0
194,19,4,2,0,0,0,1,2,5,0,1,0,4,3,1,0,0
195,2,2,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0
196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,2,1,0,3,1,1,0,1,2,0,1,0,1,0,0,0,1
198,18,2,4,1,9,1,0,3,4,0,6,0,15,0,0,0,0
199,19,1,1,0,1,1,0,0,2,0,0,0,3,1,0,0,0
200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,11,0,0,1,2,1,0,3,1,1,0,0,1,0,0,1,0
202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
